iso3,country,hdicode,le_2021,eys_2021,mys_2021,gnipc_2021,ineq_le_2021,gii_2021,mf_2021,co2_prod_2021,lat
GAB,Gabon,High,65.821,12.97731,9.436,13366.93455,19.69610405,0.541,9.15,1.931138222,-0.7955
GBR,United Kingdom,Very High,80.7422,17.30971909,13.4061203,45224.76564,3.913083792,0.098,17.85,4.854886819,54.08
GEO,Georgia,Very High,71.694,15.56851959,12.82221985,14664.16825,6.600036144,0.28,10.35,2.498792354,42.058660333333336
GHA,Ghana,Medium,63.7954,12.04778004,8.329886695,5744.504017,22.75168419,0.529,3.92,0.514959318,7.986666666666666
GIN,Guinea,Low,58.8922,9.805297465,2.202125952,2480.887182,35.05346298,0.621,4.77,0.258436989,9.31808325
GMB,Gambia,Low,62.083,9.418626299,4.637487411,2172.207664,23.34724045,0.611,3.77,0.206859196,13.45983333335
GRC,Greece,Very High,80.1106,20.02878952,11.40853024,29002.48545,3.612533092,0.119,15.17,5.01149663,39.333
GTM,Guatemala,Medium,69.2368,10.56245041,5.681300163,8723.285317,13.86461067,0.481,7.24,1.05706389,15.014
HND,Honduras,Medium,70.1229,10.13281417,7.088479996,5297.955301,10.1333456,0.431,6.06,0.975263329,14.909500000000001
HRV,Croatia,Very High,77.5804,15.11209965,12.19108434,30132.28814,3.756904602,0.093,17.06,4.136637154,45.305758416675
HTI,Haiti,Low,63.1924,9.7,5.554,2847.500746,26.58240509,0.635,2.4,0.256039713,19.0355
HUN,Hungary,Very High,74.5301,15.0336281,12.24958992,32789.01063,3.953909159,0.221,15.27,4.99728219,47.035
IDN,Indonesia,High,67.5703,13.74889386,8.556509972,11466.06836,13.23504257,0.444,6.77,2.155208427,-1.992
IND,India,Medium,67.2398,11.87462044,6.655109195,6589.980037,16.93670082,0.49,5.23,1.769409088,21.627
IRL,Ireland,Very High,81.9976,18.94522095,11.58222303,76168.98443,2.825729609,0.074,49.25,6.753775883,53.170111
IRN,Iran (Islamic Republic of),High,73.8749,14.61524963,10.63645314,13000.7117,8.532962799,0.459,13.16,8.870210046,32.2825
IRQ,Iraq,Medium,70.3779,12.08747317,7.905593489,9977.249073,13.98201466,0.558,11.87,5.241572172,33.024
ISL,Iceland,Very High,82.6782,19.163059230000002,13.76716995,55782.04981,1.954472423,0.043,59.61,8.603839493,64.882
ISR,Israel,Very High,82.255,16.05088997,13.3448664,41523.74319,3.198390722,0.083,30.76,6.510389017,31.262999999999998
ITA,Italy,Very High,82.8502,16.22678947,10.7401104,42839.51441,2.737157345,0.056,11.85,5.02491109,43.08619326666
JAM,Jamaica,High,70.5003,13.40492042,9.154628661,8834.47567,8.725048065,0.335,9.95,2.508977035,18.189222333333333
